size,time,threads
10,0.000543,1
20,0.000724,1
40,0.001016,1
60,0.001313,1
80,0.001685,1
100,0.002338,1
200,0.004434,1
400,0.007103,1
600,0.010517,1
800,0.013699,1
1000,0.016936,1
2000,0.033254,1
4000,0.065998,1
6000,0.100010,1
8000,0.127740,1
10000,0.178330,1
20000,0.346860,1
40000,0.683360,1
10,0.019571,2
20,0.025525,2
40,0.034967,2
60,0.035672,2
80,0.042455,2
100,0.044274,2
200,0.053178,2
400,0.062667,2
600,0.089824,2
800,0.067478,2
1000,0.078953,2
2000,0.102470,2
4000,0.149290,2
6000,0.214740,2
8000,0.212670,2
10000,0.350010,2
20000,0.462130,2
40000,0.648810,2
10,0.021313,4
20,0.027125,4
40,0.041605,4
60,0.045922,4
80,0.053196,4
100,0.050024,4
200,0.059462,4
400,0.072533,4
600,0.077548,4
800,0.082552,4
1000,0.088204,4
2000,0.113950,4
4000,0.171350,4
6000,0.254270,4
8000,0.257140,4
10000,0.399620,4
20000,0.509970,4
40000,0.759160,4
10,0.016249,8
20,0.023800,8
40,0.036529,8
60,0.043559,8
80,0.052788,8
100,0.061268,8
200,0.087585,8
400,0.112120,8
600,0.128300,8
800,0.134970,8
1000,0.142990,8
2000,0.190500,8
4000,0.237750,8
6000,0.345730,8
8000,0.312770,8
10000,0.424190,8
20000,0.527650,8
40000,0.708870,8